Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Not Sweet,-0.3299102422167537,-0.41917109916675904,-0.19868098399745174,2.023672555917998,-0.5065835858166823,-0.5693639496167977,6.4,1
Sweet,-0.3290007527862154,-0.41844109960591636,-0.2052350611128753,2.0241371686207774,-0.49885893333419995,-0.5715598955149691,8.0,2
Not Sweet,-0.32682519368261237,-0.4203187452108358,-0.1945928033036812,2.0234156574745046,-0.5010619862936466,-0.5752258521808421,7.2,3
Sweet,-0.32872152588573783,-0.4206706100105172,-0.2014507657382359,2.023862693970914,-0.4992587161871178,-0.5730319369415037,8.6,4
Sweet,-0.3314860981769675,-0.41817949177908076,-0.20601472512279378,2.024563113499334,-0.4976076878924375,-0.5721253372556061,8.2,5
Sweet,-0.32682649973827504,-0.42044624042917744,-0.1967778434407387,2.023025315910269,-0.5013338691533855,-0.5786100797320499,8.2,6
Not Sweet,-0.32803285104432434,-0.4209643158313754,-0.19608396033726067,2.023718871728284,-0.5030581543618042,-0.5718358599937131,5.6,7
Not Sweet,-0.3282963498533474,-0.42104294375706236,-0.19923038029394097,2.023599662744415,-0.5022270694106997,-0.5731813357815299,7.0,8
Not Sweet,-0.32848955906208255,-0.4208169649419488,-0.20100416784175557,2.0234307593210588,-0.5007656104864436,-0.5756927866944906,7.6,9
Sweet,-0.3228697599543118,-0.42030697646118775,-0.2006269356829692,2.0229828422361136,-0.5023493253403968,-0.5807685929995196,8.0,10
Sweet,-0.32880092513743153,-0.4209548937389711,-0.2020785467367698,2.024447675141838,-0.4950344446427224,-0.5742278931202205,8.2,11
Sweet,-0.33791680312954564,-0.4231424178785438,-0.22271159680190872,2.02784601172729,-0.4857569297367466,-0.5523518742209029,8.6,12
Sweet,-0.3326112287061227,-0.4217197004317404,-0.20698894598661252,2.0248869189858407,-0.4945849491664888,-0.566557913343909,9.4,13
Sweet,-0.33165685605459483,-0.42197091963699573,-0.21205960856538186,2.025298070719094,-0.4937634209464753,-0.5670707497642251,8.0,14
Sweet,-0.32950031020822285,-0.4236248303433023,-0.202020421653579,2.0252706144983827,-0.49254926236451374,-0.5700555035697102,8.8,15
Sweet,-0.3364053403180883,-0.42220133809780463,-0.19841126747027696,2.0238888137507445,-0.499366610241033,-0.5684094492249587,8.6,16
Sweet,-0.3333059704210761,-0.42137768601210246,-0.19920325582629814,2.0245634670125217,-0.4958756627459263,-0.5697469491718037,9.2,17
Sweet,-0.3324658938285516,-0.42168073826524377,-0.19759914847154175,2.023512093569704,-0.49720643534036557,-0.5756274123243047,9.4,18
Sweet,-0.324505211748938,-0.4201003892033296,-0.19834858318257909,2.0232789245638174,-0.5017049811580435,-0.5778224592240836,9.2,19
Sweet,-0.3313674842754315,-0.42286991402280405,-0.20458724650027316,2.024480870449817,-0.4948167112179662,-0.5723516214202375,9.6,20
Sweet,-0.3341922644698846,-0.42296948422827846,-0.20753457816688206,2.0256940594616575,-0.48825396868682674,-0.5648005663991711,9.6,21
Sweet,-0.33289869872837863,-0.4223506791553752,-0.19973718888366107,2.0244411936477915,-0.4946296487677669,-0.5729134208228002,8.2,22
Sweet,-0.33328478297360636,-0.42240707809081723,-0.19491766111596637,2.023960588762183,-0.4969058122870954,-0.5711413543161197,8.2,23
