Class,730nm,760nm,810nm,860nm,900nm,940nm,Sample No.,Brix (%)
Average,235.2640076,165.1004333,368.5871887,2455.738037,107.2800369,45.4216156,1,5.8
Average,221.4726715,156.6337433,346.3831482,2311.896973,126.6596527,49.37131882,2,4.2
Average,245.8103333,171.8737793,347.2713013,2354.817383,109.3564224,41.47190857,3,3.6
Bland,257.1679077,177.8004761,379.2451172,2474.29834,116.2777176,41.47190857,4,3.0
Bland,219.8501587,151.5537262,332.1725464,2170.375977,112.81707,44.43418884,5,2.6
Average,244.1878204,173.5671234,364.1463928,2297.977051,117.661972,49.37131882,6,3.4
Average,249.0553589,172.720459,384.5740967,2409.337646,118.3541031,48.38389206,7,4.4
Bland,252.3003693,176.9537964,376.580658,2343.217285,125.9675217,49.37131882,8,3.2
Bland,247.4328461,181.187149,386.3504333,2394.257568,108.6642914,46.40904236,9,2.0
Bland,248.2440948,171.8737793,366.8108521,2272.456787,118.3541031,45.4216156,10,3.0
Average,247.4328461,175.2604675,373.0279846,2259.696533,131.5045624,52.33359909,11,4.0
Bland,213.3601227,154.9404144,318.8501282,2088.015381,101.7430038,41.47190857,12,2.2
Bland,249.0553589,160.0204163,325.9554138,2108.895508,109.3564224,42.45933533,13,3.2
Average,263.657959,179.4938049,402.3373413,2629.739502,110.7406845,51.34617233,14,6.4
Average,254.7341309,176.107132,394.3438721,2445.298096,115.5855865,45.4216156,15,6.0
Average,172.7973633,127.8470001,299.3105469,2362.9375,104.5115204,37.52220154,16,5.6
Average,271.7705078,188.8071594,400.5610046,2431.37793,122.5068817,53.32102585,17,6.6
Average,247.4328461,176.9537964,376.580658,2302.616943,112.124939,48.38389206,18,6.2
Average,247.4328461,165.9470978,339.277832,2164.575928,105.2036438,43.44676208,19,6.4
Average,252.3003693,176.9537964,367.6990356,2307.25708,121.1226196,53.32102585,20,7.0
Average,209.3038483,144.7803802,311.744812,1894.293945,99.66661072,43.44676208,21,7.0
Average,245.8103333,172.720459,354.3765869,2140.21582,106.5879059,44.43418884,22,6.8
Average,247.4328461,179.4938049,375.6924744,2328.137207,114.8934555,48.38389206,23,7.0
Average,232.830246,168.4871063,361.4819031,2264.33667,114.8934555,48.38389206,24,7.2
Average,269.336731,188.8071594,401.4491882,2415.137695,119.7383575,47.39646912,25,7.8
Average,249.8666077,181.187149,365.0345459,2206.336182,116.969841,50.35874557,26,6.8
Average,291.2406311,206.587204,430.7585144,2536.938721,117.661972,46.40904236,27,8.0
Average,249.8666077,173.5671234,349.935791,2208.65625,107.2800369,45.4216156,28,7.8
Average,245.8103333,174.4137878,349.935791,2202.856201,105.2036438,47.39646912,29,6.6
Average,223.0951843,152.4004059,330.3962402,2041.61499,105.8957748,44.43418884,30,7.0
Average,288.8068542,206.587204,412.1071167,2684.259766,129.4281769,54.30845261,31,7.2
Bland,261.2241821,182.0338135,367.6990356,2401.217773,108.6642914,44.43418884,32,3.0
Average,242.5653076,171.0271149,384.5740967,2513.738525,107.2800369,36.53477859,33,6.2
Average,176.8536377,122.7669907,298.4223938,2371.057373,108.6642914,36.53477859,34,3.4
Average,187.3999481,138.0070343,322.402771,2296.816895,111.4328079,38.5096283,35,3.6
Average,169.5523376,127.0003357,292.2052612,2157.615967,105.2036438,39.49705505,36,4.0
Average,195.5125122,143.0870514,341.9423218,2629.739502,119.0462341,35.54735184,37,4.0
Average,163.0623016,121.9203186,277.9946594,1955.774414,89.97680664,33.57249832,38,3.6
Average,209.3038483,162.5604248,391.6793823,2916.261475,117.661972,41.47190857,39,4.6
Average,183.3436737,140.5470428,321.5146179,2567.098877,116.2777176,38.5096283,40,4.0
Average,180.0986633,134.6203613,319.7382813,2207.496338,113.509201,40.48448181,41,3.4
