Class,730nm,760nm,810nm,860nm,900nm,940nm,Samle No.,Brix (%)
Average,-0.35079543611669517,-0.4259189601097241,-0.20804747474049176,2.026646643876204,-0.48782675171779544,-0.5540580211914978,1,5.8
Average,-0.35836339390627847,-0.4323795125567596,-0.2157733030337498,2.027935970148804,-0.4665960844199859,-0.5548236762320308,2,4.2
Average,-0.33517816485454516,-0.41798056559754315,-0.2215508549841326,2.02672318774389,-0.48799447562406173,-0.5640191266836073,3,3.6
Bland,-0.3381645762556513,-0.4227752070378777,-0.20802265920350627,2.0254347064931326,-0.4883623036492738,-0.5681099603468236,4,3.0
Bland,-0.3472913100892815,-0.4304128096712048,-0.21058716668843572,2.0266340188853205,-0.47755800941693693,-0.5607847230194616,5,2.6
Average,-0.3423453059167383,-0.4237580490783379,-0.20405501907868348,2.025297923927016,-0.48820646046032334,-0.5669330893929324,6,3.4
Average,-0.34523337795295267,-0.4289793048713057,-0.1965577089374197,2.0247814222955647,-0.488623856367188,-0.5653871741666993,7,4.4
Bland,-0.3415139296930954,-0.42678532366023314,-0.20086316015972333,2.0248232932067562,-0.4844876258290476,-0.5711732538646564,8,3.2
Bland,-0.3458239850110058,-0.41895043855038255,-0.19247741412582872,2.023985454026594,-0.4990060438046177,-0.567727572534759,9,2.0
Bland,-0.3370656708638762,-0.42615326793658936,-0.19875502710909715,2.024221480191375,-0.4885851083388682,-0.5736624059429444,10,3.0
Average,-0.3442388649351633,-0.4291939663321822,-0.19639909668565,2.024424450231348,-0.48069964518878616,-0.5738928770895665,11,4.0
Bland,-0.3454454740341627,-0.41935796839784617,-0.2119797368054871,2.0263644895042594,-0.4866632224902404,-0.5629180877765226,12,2.2
Bland,-0.31480024866961054,-0.4268078273279007,-0.21805857965169204,2.0249125170031808,-0.49054405398434797,-0.5747018073696296,13,3.2
Average,-0.34293776201472476,-0.4271944130501596,-0.20410597020015273,2.025744119502982,-0.4960230935624971,-0.5554828806754477,14,6.4
Average,-0.3426713061245249,-0.4276171931652175,-0.1918417759164792,2.0239381503988914,-0.4930025752794411,-0.5688052999132289,15,6.0
Average,-0.3794992063768531,-0.4289889248382735,-0.2402099683752793,2.0318143190351,-0.4546809601923992,-0.5284352592522946,16,5.6
Average,-0.3344052890308072,-0.42498500875232315,-0.19379130312111129,2.0234628392929714,-0.4973719204108294,-0.5729093179779002,17,6.6
Average,-0.3413016606021991,-0.42240760316520887,-0.1926808284728494,2.02376489504948,-0.4970114124828869,-0.570363390326336,18,6.2
Average,-0.3226688020647871,-0.42243402458648777,-0.2102204826104273,2.024541724462248,-0.4968038908695551,-0.5724145243309914,19,6.4
Average,-0.3383166641116552,-0.42497890673843813,-0.205587240160672,2.025256756627421,-0.48919489963305873,-0.5671790459835966,20,7.0
Average,-0.3381814543579104,-0.4286351240477882,-0.19457229375185545,2.0239596723621065,-0.4918788727670114,-0.5706919274375413,21,7.0
Average,-0.3288036973171965,-0.41953222002262225,-0.19403734426040084,2.022775271171249,-0.5016244236686904,-0.5787775859023382,22,6.8
Average,-0.3431438370882333,-0.4204481092871261,-0.19720393209245887,2.024380541228086,-0.4939534591707093,-0.5696312035895589,23,7.0
Average,-0.3493843235754026,-0.4245937105581969,-0.1990060189119195,2.0252022059757593,-0.4872382386560065,-0.5649799142742337,24,7.2
Average,-0.33424573283421255,-0.42269791530171474,-0.189135868987818,2.0226621040711334,-0.4985618016615742,-0.5780207852858139,25,7.8
Average,-0.3357648707156443,-0.4185882604733472,-0.19687910758237104,2.023622421620947,-0.4960305588016892,-0.5763596240478954,26,6.8
Average,-0.3281381176709913,-0.41668998326233325,-0.18219519163946934,2.0209783000334753,-0.5097103778464872,-0.5842446296141941,27,8.0
Average,-0.3272576357853871,-0.41885958534599727,-0.2071187860236195,2.024382767291494,-0.49844107150936834,-0.5727056886271222,28,7.8
Average,-0.33116724232821004,-0.41710685723673896,-0.20583202233619635,2.0245177148447646,-0.5004147131206603,-0.5699968798229592,29,6.6
Average,-0.33753397952244985,-0.4293537003736528,-0.1981693302122637,2.0243940822218924,-0.4897547984820552,-0.5695822736314705,30,7.0
Average,-0.33560655310426823,-0.416658225202433,-0.21405784277215287,2.0258175524656648,-0.49272116330433474,-0.5667737680824761,31,7.2
Bland,-0.32976129048516534,-0.41690799054377087,-0.21258880744474082,2.025239486635861,-0.497649018132471,-0.568332380029713,32,3.0
Average,-0.34843888269838974,-0.4232066840561781,-0.20001907317070408,2.0252669876722003,-0.48983163899501664,-0.5637707087519119,33,6.2
Average,-0.3754290536019972,-0.43476838686798025,-0.24205400942614164,2.0318672741299015,-0.4502406858572788,-0.5293751383765039,34,3.4
Average,-0.3741387610536624,-0.43041758746772063,-0.22031506751410546,2.0293539883345684,-0.46069655178858004,-0.5437860205105001,35,3.6
Average,-0.37842528283683985,-0.42998817802614553,-0.22979914160119752,2.0306345022545615,-0.4564005790820237,-0.5360213207083551,36,4.0
Average,-0.3779923172748814,-0.4298722953064319,-0.23308609824910384,2.0309067334442155,-0.4536629698060353,-0.536293052807763,37,4.0
Average,-0.37129045895040735,-0.42637325049880753,-0.21741369742280808,2.028875512476428,-0.4691407031667188,-0.5446574024376861,38,3.6
Average,-0.38391663204168086,-0.4256001915903898,-0.22128281400914876,2.0300192968998774,-0.4656384941108223,-0.533581165147836,39,4.6
Average,-0.38280461881792127,-0.42615995060745965,-0.24282988240789255,2.0320700002986487,-0.45074610667224,-0.529529441793135,40,4.0
Average,-0.3791503801274636,-0.4331657841682945,-0.21329787344466603,2.0288266052569424,-0.45823989211047866,-0.5449726754060396,41,3.4
Average,-0.37223480530871966,-0.4265284237377725,-0.23397529699319786,2.030572181122246,-0.45584172160852776,-0.5419919334740277,42,3.6
Average,-0.3761698378979399,-0.4326476083044862,-0.23497812793788722,2.0310040246193877,-0.44984368875828284,-0.5373647617207913,43,4.2
Average,-0.37401186377623347,-0.42757913988122903,-0.236023236355028,2.03074034606913,-0.448980743421844,-0.5441453626347956,44,4.0
Average,-0.3801278944888651,-0.43767156521633144,-0.23057940457377382,2.0307090417294202,-0.4436570783879422,-0.5386730990625083,45,4.8
Average,-0.37746270577466484,-0.43157607948781124,-0.21227990683425593,2.028625137426467,-0.46153345938399515,-0.5457729859457396,46,4.0
Average,-0.3766019097483604,-0.43029528799003847,-0.2543462089504584,2.032916334473566,-0.44399144963919185,-0.5276814781455167,47,4.2
Average,-0.38137911231644434,-0.4302552472312634,-0.22430735590151027,2.0301899235359273,-0.45724472504538444,-0.537003483041325,48,3.8
Bland,-0.36984808888905335,-0.42494247272572067,-0.2251835850455358,2.029872056923505,-0.47665428258482506,-0.5332436276783701,49,2.0
Bland,-0.37042818530358484,-0.43058691066608273,-0.2285970684144602,2.030206026103171,-0.46294250858113317,-0.5376513531379095,50,2.4
Bland,-0.3723044105812711,-0.436031769531071,-0.2172047704783077,2.0289184759251593,-0.4558935752611144,-0.5474839500733953,51,3.0
Bland,-0.3674940409383369,-0.42803625575673904,-0.22659165690180064,2.029721815259291,-0.4651351748864834,-0.542464686775931,52,2.6
Average,-0.379461260846985,-0.4355258432992835,-0.21700268253569463,2.0293450367156387,-0.45603843131015764,-0.5413168187235182,53,5.2
Average,-0.3729568388360875,-0.4318866696498135,-0.23127776682048776,2.030578361780009,-0.45743681186754626,-0.5370202746060737,54,4.0
Average,-0.37290182488438106,-0.43115501151388014,-0.21945354521016844,2.0291949488026595,-0.46067083622747934,-0.5450137309667517,55,4.2
Bland,-0.3758091408958401,-0.4339644437144684,-0.21921309079546408,2.0294303402545846,-0.45925414503103895,-0.5411895198177735,56,3.2
Average,-0.37520441949817174,-0.4372798382331204,-0.22565093379348816,2.0299199166856488,-0.4474346281425723,-0.5443500970182963,57,4.8
Average,-0.37597072157161787,-0.43752436546493617,-0.21825408747131636,2.029254090187925,-0.4529081097689418,-0.5445968059111127,58,5.6
Average,-0.374132441802402,-0.42944280961042375,-0.22497422652708024,2.029745483842229,-0.45628696387447315,-0.5449090420278502,59,5.0
Average,-0.36916959613699546,-0.42473203837116175,-0.22809745995077318,2.029989218718412,-0.4692835350974928,-0.5387065891619884,60,4.2
Bland,-0.3404191660830526,-0.41583440907973335,-0.2077556071457073,2.0255318275837952,-0.5004315063090014,-0.5610911389663014,61,1.0
Bland,-0.3300702469012739,-0.427034263617497,-0.1983804493827718,2.0238171828231435,-0.49649843066296684,-0.5718337922586336,62,3.2
Bland,-0.32368169481769793,-0.4252692177816488,-0.21329593996578397,2.0250345641749625,-0.49042283700058575,-0.572364874609245,63,3.0
Average,-0.3264084503661647,-0.4201459888534151,-0.20761151675788908,2.0243282972552983,-0.49443909714189205,-0.5757232441359365,64,3.6
Bland,-0.32858636468976865,-0.4160744325455186,-0.21094947342609557,2.024822950417879,-0.49654369829793965,-0.5726689814585562,65,3.2
Average,-0.32508556095600466,-0.4178355498818447,-0.2105056065867338,2.0245877859222055,-0.49835486655470246,-0.5728062019429196,66,4.0
Average,-0.3326397738951226,-0.43095702981835726,-0.20772581965753273,2.0251172091794873,-0.481424346737292,-0.5723702390711826,67,4.2
Bland,-0.3289056299030183,-0.41621006059605875,-0.19059270534550835,2.022181407742436,-0.5055851836917309,-0.5808878282061195,68,3.0
Average,-0.32772462607771885,-0.42076551306999216,-0.20833044403266546,2.0244956055360013,-0.49138786426117426,-0.576287158094451,69,3.6
Average,-0.331136251496672,-0.42113435510285546,-0.20615335592367076,2.0246609273472003,-0.49561562629897055,-0.5706213385250317,70,4.0
Average,-0.3362239642245467,-0.430092965121596,-0.19305557139370555,2.02361259531115,-0.49093990498744994,-0.5733001895838519,71,3.8
Average,-0.3284822491028606,-0.4262105470447878,-0.19998710175600426,2.0237862358187324,-0.49427767039519016,-0.5748286675198897,72,3.6
Average,-0.33461294810381054,-0.42350293282089774,-0.19447036297313333,2.0236468414362183,-0.5029053227227906,-0.5681552748155861,73,4.2
Average,-0.33284754178618636,-0.41645953246863726,-0.19708280447848972,2.023476264427006,-0.5037681579872835,-0.5733182277064094,74,8.0
Average,-0.3399838742930587,-0.42053886727603457,-0.21178149522756995,2.026125808633494,-0.4933632110061222,-0.5604583608307084,75,8.0
Average,-0.3290187903732886,-0.4280248499574653,-0.18744509062588563,2.02219485271742,-0.4975708818967061,-0.5801352398640742,76,7.2
Average,-0.3297474136212694,-0.426351605163941,-0.20188757612159247,2.0241096506424907,-0.49181049283660455,-0.5743125628990832,77,8.0
Sweet,-0.32456383774956865,-0.42942939042383016,-0.1966977545888515,2.0230230154307502,-0.49150847442255835,-0.5808235582459416,78,9.0
Sweet,-0.32504012080071326,-0.416686387348789,-0.21279240980448672,2.0248026563211794,-0.4973177535578223,-0.5729659848093681,79,9.0
