Sample No.,Partition
1,Train
2,Train
3,Test
4,Train
5,Train
6,Train
7,Validation
8,Train
9,Train
10,Train
11,Train
12,Train
13,Test
14,Train
15,Validation
16,Train
17,Train
18,Train
19,Validation
20,Validation
21,Validation
22,Train
23,Validation
24,Train
25,Train
26,Train
27,Test
28,Train
29,Test
30,Train
31,Train
32,Train
33,Train
34,Train
35,Train
36,Validation
37,Train
38,Test
39,Train
40,Train
41,Train
42,Train
43,Test
44,Train
45,Train
46,Train
47,Train
48,Validation
49,Train
50,Train
51,Train
52,Test
53,Train
54,Validation
55,Validation
56,Validation
57,Test
58,Validation
59,Train
60,Train
61,Train
62,Train
63,Train
64,Train
65,Train
66,Train
67,Test
68,Train
69,Train
70,Train
71,Train
72,Train
73,Train
74,Test
75,Train
76,Train
77,Test
78,Validation
79,Train
80,Train
81,Train
82,Validation
83,Train
84,Train
85,Train
86,Train
87,Train
88,Train
89,Validation
90,Train
91,Train
92,Train
93,Test
94,Train
95,Test
96,Train
97,Train
98,Train
99,Test
100,Validation
101,Test
102,Test
103,Validation
104,Train
105,Test
106,Validation
107,Train
108,Train
109,Train
110,Test
111,Train
112,Train
113,Train
114,Train
115,Train
116,Train
117,Train
118,Train
119,Train
120,Train
121,Train
122,Train
123,Validation
124,Train
125,Train
126,Train
127,Train
128,Train
129,Test
130,Test
